NAPS ID,percent completeness_2013,mean_2013,percent completeness_2014,mean_2014,elevation,percent completeness_2015,mean_2015,percent completeness_2016,mean_2016,numObs,meanNO2_2014_2016,Ra10m,aR10m,bR10m,cR10m,dR10m,eR10m,fR10m,Ra25m,aR25m,bR25m,cR25m,dR25m,eR25m,fR25m,Ra50m,aR50m,bR50m,cR50m,dR50m,eR50m,fR50m,Ra100m,aR100m,bR100m,cR100m,dR100m,eR100m,fR100m,Ra250m,aR250m,bR250m,cR250m,dR250m,eR250m,fR250m,Ra500m,aR500m,bR500m,cR500m,dR500m,eR500m,fR500m,Ra750m,aR750m,bR750m,cR750m,dR750m,eR750m,fR750m,Ra1000m,aR1000m,bR1000m,cR1000m,dR1000m,eR1000m,fR1000m,Ra2000m,aR2000m,bR2000m,cR2000m,dR2000m,eR2000m,fR2000m,Ra3000m,aR3000m,bR3000m,cR3000m,dR3000m,eR3000m,fR3000m,Ra4000m,aR4000m,bR4000m,cR4000m,dR4000m,eR4000m,fR4000m,Ra5000m,aR5000m,bR5000m,cR5000m,dR5000m,eR5000m,fR5000m,Ra10000m,aR10000m,bR10000m,cR10000m,dR10000m,eR10000m,fR10000m,Ra15000m,aR15000m,bR15000m,cR15000m,dR15000m,eR15000m,fR15000m,Ra20000m,aR20000m,bR20000m,cR20000m,dR20000m,eR20000m,fR20000m,aL10m,bL10m,cL10m,aL25m,bL25m,cL25m,aL50m,bL50m,cL50m,aL100m,bL100m,cL100m,aL250m,bL250m,cL250m,aL500m,bL500m,cL500m,aL750m,bL750m,cL750m,aL1000m,bL1000m,cL1000m,aL2000m,bL2000m,cL2000m,aL3000m,bL3000m,cL3000m,aL4000m,bL4000m,cL4000m,aL5000m,bL5000m,cL5000m,aL10000m,bL10000m,cL10000m,aL15000m,bL15000m,cL15000m,aL20000m,bL20000m,cL20000m,port_dist,te_14_16,pr_14_16,sat_10_12,N650m,wa50m,wa100m,wa250m,wa500m,wa750m,wa1000m,wa2000m,wa3000m,wa4000m,wa5000m,wa10000m,wa15000m,wa20000m,PD10,PD25,PD50,PD100,PD250,PD500,PD750,PD1000,PD2000,PD3000,PD4000,PD5000,PD10000,PD15000,PD20000,NDVI_14_16_50m,NDVI_14_16_100m,NDVI_14_16_250m,NDVI_14_16_500m,NDVI_14_16_750m,NDVI_14_16_1000m,NDVI_14_16_2000m,NDVI_14_16_3000m,NDVI_14_16_4000m,NDVI_14_16_5000m,NDVI_14_16_10000m,NDVI_14_16_15000m,NDVI_14_16_20000m
10102,96,7,95,6,17,95,5,99,5,3,5.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071441062,0,0,0,0,0,0,0.470107948,0,0,0,0,0,0,1.847554569,0,0,0.103738217,0.103738217,0,0,4.649292421,0,0,0.957688686,0.957688686,0,0,6.899839505,0,0,1.472243609,1.472243609,0,0,9.307215014,0,0,3.626268277,3.626268277,0,0,20.059951,0,0,6.337996535,5.705509113,0.632487421,0.632487421,43.32647439,0,0,17.81649459,13.96956913,3.846925456,3.846925456,59.66711484,0,0,40.63862043,29.28414134,11.3544791,11.3544791,67.39477077,0,0,129.2282151,73.7308393,55.49737581,55.49737581,101.0620129,0,0,225.8462871,116.6387924,109.2074948,109.2074948,123.3419059,0,0,283.5027616,144.8738404,138.6289211,138.6289211,123.3419059,0,0.062752135,0,0,0.155283378,0,0.055706624,0.283782767,0,0.295006639,0.539470263,0.315678357,0.922751384,0.932937226,2.47926433,2.763968464,1.708638521,6.814903862,5.515967619,3.657717693,13.33620834,11.75417832,4.94666793,19.77357375,18.11484248,13.88266817,56.81294274,57.16993379,27.88430141,101.1914789,98.82106831,39.89095569,159.968516,146.045465,47.83880103,218.6353197,189.274563,78.46286717,651.2893952,426.1951954,96.30930459,1157.289973,746.5929107,97.64112872,1548.905762,892.5503594,1521.599976,9.3386002,3.8893399,0.133999,0.21800635,0,0,0,0,0.017046621,0.048306946,0.048444907,0.079165061,0.140907153,0.178041845,0.273451543,0.404311397,0.515259425,0,0,0,0,193,1770,4149,6915,21424,36854,52582,68975,127568,169416,186255,0.165899682,0.095422143,0.197304624,0.230670601,0.265501644,0.318059599,0.434075819,0.472900716,0.492612787,0.502670647,0.533711005,0.550744622,0.555920273
10401,98,2,98,2,134,100,2,100,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121634064,0,0,0,0,0,0,0.86915485,0,0,0,0,0,0,2.112332797,0,0,2.098061942,2.098061942,0,0,2.965835331,0,0,4.778688381,4.518242363,0.260446017,0.260446017,4.265739089,0,0,14.24966135,12.4885498,1.761111546,1.761111546,14.28752106,0,0,28.85693692,18.47703041,10.37990652,10.37990652,21.78274452,0,0,39.69032671,23.36370999,16.32661672,16.32661672,27.67239731,0,0,68.38709186,45.13769832,23.24939354,23.24939354,38.32153251,0,0,172.3394332,117.1922263,55.14720684,55.14720684,85.75299445,0,0,271.7102445,160.3949177,111.3153268,111.3153268,116.1386695,0,0,328.3160982,179.0187822,149.297316,149.297316,123.3419059,0,0,0,0.062752135,0,0,0.156880337,0,0,0.313952598,0,0,0.628113524,0,0.870946243,2.051895078,0,2.520609014,4.884520905,0,5.645149887,7.99154572,0.997674676,11.81569669,12.80201372,1.038140663,45.63878238,41.19544245,5.545997817,91.85378814,80.75057068,16.21995727,139.8935652,109.8809957,29.98297645,206.0050407,151.4202292,72.34047632,677.5265746,387.797175,96.67386213,1285.962024,736.0065563,100.4546357,1857.711611,986.1616846,10298.59961,9.0668497,4.2781401,0.133999,0.35260761,0,0,0,0,0,0,0,0,0.00086793,0.014864227,0.053997102,0.22577118,0.362822048,0,0,0,0,208,1485,2637,4306,14263,31091,40934,52825,119105,175064,199737,0.458708293,0.330697932,0.449908568,0.457416798,0.473184654,0.482294789,0.524771631,0.529710346,0.542582143,0.541690741,0.546112967,0.548353123,0.549199295
10501,96,1,97,1,64,99,1,92,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198563974,0,0,0,0,0,0,0.809111423,0,0,0,0,0,0,1.555058955,0,0,0,0,0,0,2.36416569,0,0,0,0,0,0,2.918038864,0,0,0,0,0,0,5.113895151,6.640180198,0,6.640180198,6.640180198,0.469481572,0,6.441932746,14.58148287,0,14.58148287,14.58148287,1.474274765,0,7.498522446,20.4220588,0,20.4220588,20.4220588,2.513763757,0,8.519658358,22.98221644,0,22.98221644,22.98221644,3.521675091,0,13.78620608,36.55045096,0,36.55045096,36.55045096,8.572994239,0,19.8040306,68.75483152,0,68.75483152,68.75483152,13.24695997,0,25.95519094,94.73641567,0,94.73641567,94.73641567,17.01426,0,0,0.062752135,0,0,0.156880337,0,0,0.301622544,0,0,0.588715728,0.068390233,0.794392796,1.509116525,1.641342419,1.097850399,4.41658546,3.696231154,1.097850399,6.192793304,4.982573594,1.097850399,8.11708914,6.09963148,4.77023809,24.75903978,19.25084824,12.64474885,49.29427668,40.72301628,17.63894636,78.65877013,52.23814527,17.63894636,91.88853788,53.16411293,17.63894636,113.3148558,53.16411293,18.92882383,138.1969793,62.73463094,23.77560105,169.2053404,70.81661849,266688,9.22577,3.34448,0.0893839,0.25756529,0,0,0,0,0.016633267,0.02333183,0.056826818,0.051086671,0.053850918,0.07282406,0.051653965,0.038691502,0.037969008,0,0,0,0,35,392,1193,1948,4245,8076,12024,12371,14196,15013,17357,0.279219645,0.229749177,0.428942201,0.466028271,0.509681884,0.543365704,0.599319523,0.603321707,0.613895814,0.622142322,0.650953464,0.653179627,0.653228177
10602,98,3,90,3,99,100,3,99,2,3,2.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136242833,0,0,0,0,0,0,0.459196403,0,0,0,0,0,0,0.961041944,0,0,3.73374569,2.299135257,1.434610433,1.434610433,1.925104907,0,0,6.14732503,4.369922084,1.777402946,1.777402946,3.177423785,0,0,14.26806692,10.05828096,4.209785965,4.209785965,12.96618172,0,0,23.95154428,12.99667625,10.95486803,10.95486803,17.43003116,0,0,37.73446002,16.40729527,21.32716476,21.32716476,20.56383585,0,0,49.46296883,18.50662023,30.95634859,30.95634859,25.43282221,0,0,88.19533019,32.34786256,55.84746763,55.84746763,29.93924865,0,0,117.9135058,44.15864853,73.75485725,73.75485725,34.38908192,0,0,148.8367344,50.7704307,98.06630374,98.06630374,34.38908192,0,0,0,0.062752135,0,0,0.156880337,0,0,0.313952598,0.285169004,0,0.615430209,1.009219164,0,1.469524949,2.025524445,2.004289149,3.453607131,2.39302197,6.206652587,5.458200621,2.772022685,11.29841473,8.10594005,4.820958676,38.24231362,27.65746048,8.01128615,75.5163096,54.10114305,10.49732753,110.529138,66.6744237,10.49732753,143.3126098,78.94606923,10.49732753,233.3630272,93.6056379,10.49732753,261.5641951,93.6056379,14.36316279,271.8163657,100.5024188,417106,8.7353897,3.4947701,0.0990202,0.616006982,0,0,0,0,0,0,0.178955367,0.285533883,0.229019282,0.176441994,0.095458121,0.082930189,0.087385526,0,0,0,0,91,1045,2061,3314,7781,12606,16468,19219,24310,26020,28014,0.587238386,0.361193608,0.485678077,0.482515176,0.461400366,0.492512061,0.49656947,0.462884949,0.518953285,0.573592839,0.647872744,0.645250469,0.635287096
10901,99,0,94,1,1,98,1,99,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139700913,0,0.139700913,0.139700913,0,0,0,0.652149419,0,0.652149419,0.652149419,0,0,0,1.776933385,0,1.776933385,1.776933385,0,0,0,2.836075527,0,2.836075527,2.836075527,0,0,0,3.865830644,0,3.865830644,3.865830644,0,0,0,8.8272966,0,8.8272966,8.8272966,0,0,0,13.50097437,0,13.50097437,13.50097437,0,0,0,17.70166144,0,17.70166144,17.70166144,0,0,0,22.37597042,0,22.37597042,22.37597042,0,0,0,74.27435664,0,74.27435664,74.27435664,0.061002304,0,0,91.27384367,0,91.27384367,91.27384367,0.061002304,0,0,116.5161319,0,116.5161319,116.5161319,0.061002304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.938757459,0,0,9.298730697,0,0,13.40733401,0.482613586,0,17.19561552,4.189998753,17.59046955,112.0756543,36.27552713,17.59046955,116.4554384,36.41944111,17.59046955,116.4554384,36.41944111,196130,9.1322899,4.14254,0.093484,0.43877465,0,0,0.037243948,0.098506069,0.082850041,0.046625481,0.047948,0.118156142,0.196911506,0.192816097,0.179199433,0.298155444,0.354803542,0,0,0,0,0,18,177,299,1008,1523,1652,3129,8361,9332,10120,0.365659419,0.28402296,0.434145811,0.537812445,0.59461199,0.616130288,0.640581746,0.641734612,0.633767425,0.632342046,0.625642852,0.620322995,0.616068031
30118,99,10,71,,18,99,10,99,9,3,6.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.041644341,0,0,0,0,0,0,0.096590938,0,0,0,0,0,0,0.303364,0,0,0,0,0,0,1.25917857,0,0,0,0,0,0,2.831761782,0,0,0,0,0,0,6.042221186,0.642681615,1.048294779,0,0,0,0,8.165060579,0.771280148,32.29150338,0,0,0,0,24.29018271,2.873745479,52.11260467,13.70415602,2.117680297,11.58647572,11.58647572,41.33034925,9.482280847,60.72571728,35.01813008,10.39784185,24.62028823,24.62028823,55.64792439,14.6369994,84.48219665,83.80663831,39.24887717,44.55776114,44.55776114,70.09806742,18.7719226,164.4091592,247.6235376,120.5357574,127.0877803,127.0877803,104.3018517,23.75559532,195.5817616,401.8276003,204.8735181,196.9540822,196.9540822,117.2749662,24.08683197,224.2010799,523.8284688,262.0619553,261.7665135,261.7665135,135.4002265,24.08683197,0,0,0.062752135,0,0,0.156880337,0,0,0.313952598,0,0,0.628113524,0,0.08781191,1.923307178,0.979898841,2.001067868,6.735391803,2.958027304,6.30752961,10.8001701,4.717722525,9.924541976,16.84924051,11.13527089,33.1547958,46.76301711,29.47592361,97.27262548,106.3091999,44.94113532,187.2996073,188.8293331,66.48814564,304.2100912,273.9461439,135.4041289,985.3166029,646.4754743,147.5494387,1712.34367,966.1205425,165.5300314,2780.212355,1374.815932,975.8900146,12.2002001,4.3273001,0.243863,0.168930629,0,0,0.153100775,0.352394917,0.425010837,0.470860202,0.397685749,0.279540933,0.265796384,0.241677669,0.209451337,0.232330816,0.25503875,0,0,0,83,319,1495,5085,9105,30908,56400,86831,125041,241488,291899,343777,0.122842855,0.077527628,0.154932337,0.253868177,0.284724754,0.315676941,0.372104692,0.432831283,0.476820648,0.498540855,0.582374481,0.637003647,0.661229279
30120,99,2,99,2,68,99,1,99,1,3,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.687557829,0,0.687557829,0.687557829,0,0,0,7.90774009,1.35739283,6.55034726,6.55034726,0,0,0,18.81668575,6.307665917,12.50901984,12.50901984,1.287563872,0,0,29.84818495,10.76635619,19.08182877,19.08182877,2.309844222,0,36.04627666,175.2468818,94.68703811,80.55984367,80.55984367,25.88872865,9.959709359,193.2208675,324.3412243,167.8052803,156.535944,156.535944,95.96132955,20.76483988,240.667115,523.1846322,270.0720628,253.1125693,253.1125693,135.1806323,24.08683197,0,0.062752135,0,0,0.156880337,0,0,0.313952598,0,0,0.628113523,0,0,1.570590351,0,0,3.17971966,0,0,6.830928939,0,0,10.89378076,0,0,39.71814145,20.03137877,0,82.37871012,45.41285856,1.404070731,128.5275943,70.29709424,3.008455698,205.4754218,124.4098156,59.0124548,858.7026731,417.5610464,119.7419179,1758.898793,941.5271014,161.3610523,2773.085099,1392.709475,9559.030273,11.9617996,4.2109299,0.267242,0.538046236,0,0,0.23255814,0.276097561,0.185064935,0.114772036,0.109469075,0.085121912,0.086446786,0.078069121,0.099684824,0.189693977,0.229709536,0,0,0,0,0,389,389,389,1078,2791,9071,19424,101593,217044,331194,0.53918978,0.358978075,0.704883027,0.74586669,0.739442334,0.731029042,0.712847474,0.700228817,0.69746732,0.68670413,0.65526968,0.653778947,0.663440186
30201,95,5,99,3,14,99,2,99,2,3,2.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472785019,0,0,0,0,0,0,1.011675708,0,0,0,0,0,0,2.381498381,0.946568018,0,0.946568018,0.946568018,0,0,4.115863511,1.602904489,0,1.602904489,1.602904489,0,0,9.852470118,4.527098991,0,4.527098991,4.527098991,0,0,13.50005572,13.95560198,3.514116387,10.44148559,10.44148559,0,0,17.54290749,21.16644744,4.543626434,16.62282101,16.62282101,0,0,21.24708644,28.76594535,5.607956228,23.15798912,23.15798912,0,0,59.06916477,70.06764532,13.21142675,56.85621856,56.85621856,0,0,93.45060713,110.1886782,24.78411622,85.40456196,85.40456196,0,0,128.9476133,186.0731879,40.4329208,145.6402671,145.6402671,0,0,0,0,0.062752135,0,0,0.156880337,0,0,0.313952598,0,0,0.628113524,0,0.229574479,1.815579262,0,0.229574479,4.023401907,0,1.243938501,6.080153631,0,6.301852481,10.72840508,1.176922686,22.23953356,27.19550447,1.38297015,29.16062157,34.31021022,1.38297015,29.36243968,34.31021022,1.38297015,29.36243968,34.31021022,1.38297015,29.36243968,34.31021022,1.38297015,29.36243968,34.31021022,1.38297015,29.36243968,34.31021022,152582,10.9406996,4.47191,0.28195,0.304150074,0,0,0,0.138689622,0.275847367,0.350580908,0.355307296,0.302054776,0.246878556,0.20756317,0.160719911,0.169325004,0.19060697,0,0,0,66,171,533,1254,1502,2775,3635,3912,4478,5249,6715,8799,0.327334258,0.321272414,0.471215201,0.455681526,0.423359363,0.425405214,0.511933952,0.584228823,0.62075091,0.63711316,0.680277174,0.695523423,0.703351062
30310,99,4,99,4,27,99,3,98,3,3,3.333333333,0,0,0,0,0,0,0,0,0.018094464,0,0.018094464,0.018094464,0,0,0,0.090081148,0,0.090081148,0.090081148,0,0,0,0.19510507,0,0.19510507,0.19510507,0,0,0,0.706092768,0,0.706092768,0.706092768,0,0,0,1.67122607,0,1.67122607,1.67122607,0.340511815,0,0.640409294,2.427035753,0,2.427035753,2.427035753,0.836376056,0,2.466448716,3.179401863,0,3.179401863,3.179401863,1.34941671,0,17.24058863,10.09201605,0.633578253,9.458437798,9.458437798,4.129203474,0,26.8139889,24.22749728,6.560505614,17.66699167,17.66699167,5.909061183,0,30.48926932,35.53214038,9.568986119,25.96315426,25.96315426,7.205886088,0,36.42181336,48.96830819,13.87761348,35.09069471,35.09069471,9.42701227,0,77.97700494,121.9256968,34.41785038,87.50784645,87.50784645,20.51624653,0,126.6173015,224.3391284,73.28094373,151.0581847,151.0581847,27.69393429,0,157.2503868,287.5622929,78.32478215,209.2375108,209.2375108,31.30102667,0,0,0.062752135,0,0,0.156564037,0.032420121,0,0.293069639,0.198872829,0,0.498232891,0.765699737,0,0.846555099,2.408396122,0.389516429,1.073531604,4.42593722,1.538393551,3.081636863,7.513047695,4.393645482,5.988846318,13.47193842,12.7137313,48.26512999,52.5079644,17.13521007,92.21815936,85.44741821,21.08541554,126.3665716,109.4363651,21.23904218,151.4888715,128.6328252,41.80947508,242.2757637,193.1445423,49.05983761,499.1726685,402.828493,50.81837584,617.5269463,515.7174957,227603,10.8104,4.2670898,0.366903,0.514637594,0,0,0,0,0,0,0.006111853,0.081562434,0.135329368,0.14015112,0.141312795,0.158340013,0.237065192,0,0,0,15,376,1245,2562,4569,12828,19284,25186,27062,39266,68495,88800,0.517249011,0.339484142,0.500903641,0.507800438,0.517224697,0.520585732,0.556081292,0.60350624,0.641979225,0.672975189,0.721205767,0.732946373,0.739357474
30701,99,1,94,1,235,72,,99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.445644006,0,2.445644006,2.445644006,0,0,0,5.393384212,0,5.393384212,5.393384212,0,0,0,10.89974013,3.210562245,7.689177881,7.689177881,0,0,2.883984146,21.62558639,8.806319116,12.81926727,12.81926727,0,0,20.88209658,90.58736657,22.87754755,67.70981902,67.70981902,0,0,33.23479436,135.1600296,34.98528986,100.1747397,100.1747397,0,0,45.35732752,179.5737752,45.42228209,134.1514931,134.1514931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.318948453,32.0638218,24.28458798,3.318948453,101.9705386,75.48345578,3.318948453,110.355019,80.73338029,97581.70313,11.0818996,4.82131,0.300934,0.733550008,0,0,0,0,0,0,0,0,0,0,0.124814561,0.24860997,0.323418639,0,0,0,0,0,0,0,0,85,207,527,1161,8011,19776,27146,0.736113024,0.508022071,0.765738629,0.773346988,0.772467619,0.772523305,0.772468415,0.770580222,0.769892652,0.761823497,0.729800795,0.724829441,0.722518111
