,NAPS ID,percent completeness_2013,mean_2013,percent completeness_2014,mean_2014,elevation,percent completeness_2015,mean_2015,percent completeness_2016,mean_2016,numObs,meanNO2_2014_2016,eR10m,Ra25m,aR25m,bR25m,cR25m,eR25m,fR25m,Ra50m,aR50m,bR50m,cR50m,eR50m,fR50m,Ra100m,aR100m,bR100m,cR100m,eR100m,fR100m,Ra250m,aR250m,bR250m,cR250m,eR250m,fR250m,Ra500m,aR500m,bR500m,cR500m,eR500m,fR500m,Ra750m,aR750m,bR750m,cR750m,eR750m,fR750m,Ra1000m,aR1000m,bR1000m,cR1000m,eR1000m,fR1000m,Ra2000m,aR2000m,bR2000m,cR2000m,eR2000m,fR2000m,Ra3000m,aR3000m,bR3000m,cR3000m,eR3000m,fR3000m,Ra4000m,aR4000m,bR4000m,cR4000m,eR4000m,fR4000m,Ra5000m,aR5000m,bR5000m,cR5000m,eR5000m,fR5000m,Ra10000m,aR10000m,bR10000m,cR10000m,eR10000m,fR10000m,Ra15000m,aR15000m,bR15000m,cR15000m,eR15000m,fR15000m,Ra20000m,aR20000m,bR20000m,cR20000m,eR20000m,fR20000m,aL10m,bL10m,cL10m,aL25m,bL25m,cL25m,aL50m,bL50m,cL50m,aL100m,bL100m,cL100m,aL250m,bL250m,cL250m,aL500m,bL500m,cL500m,aL750m,bL750m,cL750m,aL1000m,bL1000m,cL1000m,aL2000m,bL2000m,cL2000m,aL3000m,bL3000m,cL3000m,aL4000m,bL4000m,cL4000m,aL5000m,bL5000m,cL5000m,aL10000m,bL10000m,cL10000m,aL15000m,bL15000m,cL15000m,aL20000m,bL20000m,cL20000m,port_dist,te_14_16,pr_14_16,sat_10_12,N650m,wa50m,wa100m,wa250m,wa500m,wa750m,wa1000m,wa2000m,wa3000m,wa4000m,wa5000m,wa10000m,wa15000m,wa20000m,PD10,PD25,PD50,PD100,PD250,PD500,PD750,PD1000,PD2000,PD3000,PD4000,PD5000,PD10000,PD15000,PD20000,NDVI_14_16_50m,NDVI_14_16_100m,NDVI_14_16_250m,NDVI_14_16_500m,NDVI_14_16_750m,NDVI_14_16_1000m,NDVI_14_16_2000m,NDVI_14_16_3000m,NDVI_14_16_4000m,NDVI_14_16_5000m,NDVI_14_16_10000m,NDVI_14_16_15000m,NDVI_14_16_20000m,dR50m,dR100m,dR250m,dR500m.1,dR750m.1,dR1000m.1,dR2000m.1,dR3000m.1,dR4000m.1,dR5000m.1,dR10000m.1,dR15000m,dR20000m,alRds50m,alRds100m,alRds250m,alRds500m,alRds750m,alRds1000m,alRds2000m,alRds3000m,alRds4000m,alRds5000m,alRds10000m,alRds15000m,alRds20000m
0,10102,96.0,7.0,95.0,6.0,17.0,95.0,5.0,99.0,5.0,3,5.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.071441062,0.0,0.0,0.0,0.0,0.0,0.470107948,0.0,0.0,0.0,0.0,0.0,1.8475545690000001,0.0,0.0,0.103738217,0.103738217,0.0,4.649292421,0.0,0.0,0.9576886859999999,0.9576886859999999,0.0,6.899839505,0.0,0.0,1.472243609,1.472243609,0.0,9.307215014,0.0,0.0,3.626268277,3.626268277,0.0,20.059951,0.0,0.0,6.337996535,5.705509113,0.632487421,43.32647439,0.0,0.0,17.81649459,13.96956913,3.846925456,59.66711484,0.0,0.0,40.63862043,29.28414134,11.354479099999999,67.39477077,0.0,0.0,129.22821509999997,73.73083929999999,55.49737581,101.06201290000001,0.0,0.0,225.84628709999998,116.63879240000001,109.20749479999999,123.34190590000001,0.0,0.0,283.50276160000004,144.8738404,138.62892109999999,123.34190590000001,0.0,0.062752135,0.0,0.0,0.155283378,0.0,0.055706624,0.283782767,0.0,0.29500663899999996,0.539470263,0.31567835699999997,0.922751384,0.932937226,2.47926433,2.763968464,1.708638521,6.814903862,5.5159676189999995,3.657717693,13.33620834,11.75417832,4.94666793,19.77357375,18.11484248,13.88266817,56.81294274,57.16993379,27.88430141,101.1914789,98.82106831,39.89095569,159.968516,146.04546499999998,47.83880103,218.63531969999997,189.274563,78.46286717,651.2893952000001,426.1951954,96.30930459,1157.2899730000001,746.5929107000001,97.64112872,1548.9057619999999,892.5503594,1521.599976,9.3386002,3.8893399,0.133999,0.21800635,0.0,0.0,0.0,0.0,0.017046621,0.048306945999999996,0.048444907,0.079165061,0.140907153,0.178041845,0.273451543,0.404311397,0.515259425,0,0,0,0,193,1770,4149,6915,21424,36854,52582,68975,127568,169416,186255,0.165899682,0.095422143,0.19730462399999998,0.230670601,0.265501644,0.31805959899999997,0.434075819,0.472900716,0.49261278700000005,0.5026706470000001,0.533711005,0.5507446220000001,0.555920273,0.141545369,0.452259653,2.164992172,8.959544395,19.53344477,31.84670816,103.15824599999999,173.8958629,254.74593199999998,331.4291272,704.7864276,1082.416448,1288.8554199999999,0.212986431,0.9223676009999999,4.0125467409999995,4.753030638,7.857528191,10.779458623,23.686219277000003,49.664470924,77.483609426,108.03339120999999,230.29022801,1431.6046411,1695.7000873999998
1,10401,98.0,2.0,98.0,2.0,134.0,100.0,2.0,100.0,2.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121634064,0.0,0.0,0.0,0.0,0.0,0.86915485,0.0,0.0,0.0,0.0,0.0,2.112332797,0.0,0.0,2.0980619419999997,2.0980619419999997,0.0,2.965835331,0.0,0.0,4.778688381,4.518242363,0.260446017,4.265739088999999,0.0,0.0,14.24966135,12.488549800000001,1.761111546,14.28752106,0.0,0.0,28.85693692,18.47703041,10.37990652,21.78274452,0.0,0.0,39.69032671,23.36370999,16.32661672,27.67239731,0.0,0.0,68.38709186,45.13769832,23.24939354,38.32153251,0.0,0.0,172.3394332,117.1922263,55.14720684,85.75299445,0.0,0.0,271.7102445,160.39491769999998,111.3153268,116.1386695,0.0,0.0,328.3160982,179.0187822,149.297316,123.34190590000001,0.0,0.0,0.0,0.062752135,0.0,0.0,0.15688033699999998,0.0,0.0,0.313952598,0.0,0.0,0.628113524,0.0,0.870946243,2.0518950780000003,0.0,2.520609014,4.884520905,0.0,5.6451498870000005,7.99154572,0.9976746759999999,11.81569669,12.80201372,1.038140663,45.63878238,41.19544245,5.545997817000001,91.85378814,80.75057068,16.21995727,139.89356519999998,109.8809957,29.98297645,206.0050407,151.4202292,72.34047632,677.5265746,387.797175,96.67386213,1285.962024,736.0065562999999,100.45463570000001,1857.711611,986.1616846000001,10298.59961,9.066849699999999,4.2781401,0.133999,0.35260761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00086793,0.014864226999999999,0.053997102000000005,0.22577118,0.36282204799999995,0,0,0,0,208,1485,2637,4306,14263,31091,40934,52825,119105,175064,199737,0.458708293,0.33069793199999997,0.44990856799999995,0.45741679799999996,0.473184654,0.482294789,0.524771631,0.529710346,0.542582143,0.541690741,0.546112967,0.5483531229999999,0.549199295,0.130573461,0.38692197700000003,2.325874578,7.60636783,15.50189887,24.90836066,74.05224165,143.7827738,204.9693693,273.93248239999997,733.9280807,1135.170315,1439.258868,0.130573461,0.5085560410000001,3.1950294280000002,2.112332797,5.063897273,9.044427468999999,28.537182406,50.639681450000005,67.36272402,106.70862437,258.09242759,1523.0192290000002,1890.9168720999999
2,10501,96.0,1.0,97.0,1.0,64.0,99.0,1.0,92.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.19856397399999998,0.0,0.0,0.0,0.0,0.0,0.8091114229999999,0.0,0.0,0.0,0.0,0.0,1.555058955,0.0,0.0,0.0,0.0,0.0,2.36416569,0.0,0.0,0.0,0.0,0.0,2.9180388639999997,0.0,0.0,0.0,0.0,0.0,5.113895151,6.6401801979999995,0.0,6.6401801979999995,0.469481572,0.0,6.441932746,14.58148287,0.0,14.58148287,1.474274765,0.0,7.498522446,20.422058800000002,0.0,20.422058800000002,2.513763757,0.0,8.519658358,22.98221644,0.0,22.98221644,3.521675091,0.0,13.78620608,36.55045096,0.0,36.55045096,8.572994239,0.0,19.8040306,68.75483152,0.0,68.75483152,13.24695997,0.0,25.95519094,94.73641567,0.0,94.73641567,17.01426,0.0,0.0,0.062752135,0.0,0.0,0.15688033699999998,0.0,0.0,0.301622544,0.0,0.0,0.5887157279999999,0.068390233,0.7943927959999999,1.509116525,1.641342419,1.0978503990000001,4.41658546,3.696231154,1.0978503990000001,6.192793303999999,4.982573594,1.0978503990000001,8.11708914,6.09963148,4.77023809,24.75903978,19.25084824,12.64474885,49.29427668,40.72301628,17.63894636,78.65877013,52.23814527,17.63894636,91.88853788,53.16411293,17.63894636,113.31485579999999,53.16411293,18.92882383,138.1969793,62.73463094,23.77560105,169.2053404,70.81661849,266688.0,9.225769999999999,3.3444800000000003,0.08938389999999999,0.25756529,0.0,0.0,0.0,0.0,0.016633267,0.02333183,0.056826818,0.05108667099999999,0.053850918,0.07282406,0.051653965,0.038691502,0.037969008,0,0,0,0,35,392,1193,1948,4245,8076,12024,12371,14196,15013,17357,0.279219645,0.229749177,0.428942201,0.466028271,0.509681884,0.543365704,0.599319523,0.603321707,0.613895814,0.6221423220000001,0.650953464,0.653179627,0.653228177,0.16611370000000003,0.464657785,2.577350256,7.958969741000001,15.32126077,22.89732005,51.89579478,89.80554129999999,126.9798164,132.72441659999998,155.9936308,207.9943066,257.4333766,0.16611370000000003,0.464657785,2.577350256,0.0,0.0,0.0,7.10966177,16.055757635,22.935822557,26.503891530999997,45.123445199,289.99609809,369.18405226999994
3,10602,98.0,3.0,90.0,3.0,99.0,100.0,3.0,99.0,2.0,3,2.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136242833,0.0,0.0,0.0,0.0,0.0,0.459196403,0.0,0.0,0.0,0.0,0.0,0.9610419440000001,0.0,0.0,3.73374569,2.299135257,1.434610433,1.925104907,0.0,0.0,6.14732503,4.369922084,1.777402946,3.177423785,0.0,0.0,14.26806692,10.05828096,4.209785965,12.96618172,0.0,0.0,23.95154428,12.99667625,10.95486803,17.43003116,0.0,0.0,37.73446002,16.40729527,21.32716476,20.56383585,0.0,0.0,49.46296883,18.50662023,30.95634859,25.43282221,0.0,0.0,88.19533019,32.34786256,55.84746763,29.93924865,0.0,0.0,117.9135058,44.15864853,73.75485725,34.38908192,0.0,0.0,148.8367344,50.770430700000006,98.06630374,34.38908192,0.0,0.0,0.0,0.062752135,0.0,0.0,0.15688033699999998,0.0,0.0,0.313952598,0.285169004,0.0,0.615430209,1.0092191640000001,0.0,1.469524949,2.025524445,2.004289149,3.453607131,2.39302197,6.206652587000001,5.4582006210000005,2.772022685,11.29841473,8.10594005,4.820958676,38.24231362,27.65746048,8.01128615,75.51630959999999,54.10114305,10.49732753,110.52913799999999,66.6744237,10.49732753,143.31260980000002,78.94606923,10.49732753,233.36302719999998,93.6056379,10.49732753,261.5641951,93.6056379,14.36316279,271.81636569999995,100.5024188,417106.0,8.735389699999999,3.4947701,0.0990202,0.616006982,0.0,0.0,0.0,0.0,0.0,0.0,0.178955367,0.285533883,0.229019282,0.176441994,0.09545812099999999,0.082930189,0.08738552599999999,0,0,0,0,91,1045,2061,3314,7781,12606,16468,19219,24310,26020,28014,0.587238386,0.36119360799999994,0.48567807700000004,0.482515176,0.461400366,0.492512061,0.49656947,0.462884949,0.518953285,0.573592839,0.647872744,0.6452504689999999,0.635287096,0.054024805,0.37028883,1.948255824,7.708309234,14.17105403,21.44123125,56.26558179,95.30102653,111.90692849999999,130.2151595,208.9018138,277.706439,375.7493491,0.054024805,0.5065316630000001,2.4074522270000003,0.9610419440000001,5.658850597,9.324748815,27.234248645,41.38157544,58.29829588,74.89579103,118.13457883999999,430.0090267,558.97516546
4,10901,99.0,0.0,94.0,1.0,1.0,98.0,1.0,99.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139700913,0.0,0.139700913,0.0,0.0,0.0,0.652149419,0.0,0.652149419,0.0,0.0,0.0,1.776933385,0.0,1.776933385,0.0,0.0,0.0,2.8360755269999998,0.0,2.8360755269999998,0.0,0.0,0.0,3.865830644,0.0,3.865830644,0.0,0.0,0.0,8.8272966,0.0,8.8272966,0.0,0.0,0.0,13.50097437,0.0,13.50097437,0.0,0.0,0.0,17.70166144,0.0,17.70166144,0.0,0.0,0.0,22.37597042,0.0,22.37597042,0.0,0.0,0.0,74.27435664,0.0,74.27435664,0.06100230400000001,0.0,0.0,91.27384367,0.0,91.27384367,0.06100230400000001,0.0,0.0,116.51613190000002,0.0,116.51613190000002,0.06100230400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9387574589999996,0.0,0.0,9.298730697,0.0,0.0,13.40733401,0.48261358600000004,0.0,17.19561552,4.189998753,17.59046955,112.07565430000001,36.27552713,17.59046955,116.4554384,36.41944111,17.59046955,116.4554384,36.41944111,196130.0,9.1322899,4.14254,0.093484,0.43877465,0.0,0.0,0.037243948,0.098506069,0.082850041,0.046625480999999996,0.047948000000000005,0.11815614199999999,0.19691150600000001,0.192816097,0.17919943300000002,0.298155444,0.354803542,0,0,0,0,0,18,177,299,1008,1523,1652,3129,8361,9332,10120,0.365659419,0.28402296,0.434145811,0.537812445,0.59461199,0.6161302879999999,0.6405817460000001,0.641734612,0.633767425,0.632342046,0.625642852,0.620322995,0.616068031,0.0,0.0,0.0,0.600492541,1.5204110080000002,2.137425355,6.71932414,14.66770342,19.91598914,29.22146036,125.86476119999999,174.93537680000003,194.5108093,0.0,0.139700913,0.652149419,1.776933385,2.8360755269999998,3.865830644,8.8272966,13.50097437,17.70166144,22.37597042,74.33535894399999,266.27022277400005,311.087943504
5,11002,,,,,,,,96.0,3.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.668699975,0.0,0.668699975,0.0,0.0,0.0,1.592458468,0.0,1.592458468,0.0,0.0,0.70331211,2.355984573,0.0,2.355984573,0.0,0.0,7.10064688,4.654462669,0.0,4.654462669,0.0,0.0,17.40568316,6.849543337999999,0.0,6.849543337999999,0.715456515,0.0,25.2040049,9.151303517999999,0.0,9.151303517999999,1.9717997,0.0,34.87034027,11.91308993,0.0,11.91308993,3.39446744,0.0,48.240859,23.85078429,0.0,23.85078429,5.723121272999999,0.0,54.69493747,37.885475,0.0,37.885475,5.723121272999999,0.0,60.31017103,51.4844489,0.0,51.4844489,5.723121272999999,0.0,0.0,0.0,0.062752135,0.0,0.0,0.15688033699999998,0.0,0.0,0.313952598,0.29219419399999996,0.0,0.595425885,0.777116721,0.43293916200000004,1.561143068,0.957714009,1.44661279,4.591570994,2.2141044780000003,2.64081484,10.34069613,2.4725611730000003,6.204377376,14.93748839,2.4725611730000003,26.01776278,19.8054404,2.991224575,37.68570621,22.40486931,2.991224575,50.49383537,24.86823876,2.991224575,61.07961666,27.34998415,3.964456892,77.62375338,38.26959007,3.964456892,77.62375338,38.26959007,3.964456892,92.06270419,39.91606892,307743.0,2.0356400000000003,2.54636,0.15651199999999998,0.5149800929999999,0.0,0.0,0.0,0.0,0.0,0.00020665400000000002,0.164749968,0.23693699899999998,0.192029196,0.154019758,0.196309349,0.178074226,0.162615757,0,0,0,0,177,895,2013,2948,6127,6676,7441,7621,9131,9131,9141,0.579208714,0.47931604299999997,0.405376439,0.356430934,0.363337124,0.352040907,0.354066345,0.346182194,0.341810296,0.34690932799999996,0.360116042,0.371767925,0.38413175299999996,0.04803321,0.539051916,2.486451483,7.479295256,14.19701323,22.54094128,42.78713704,55.84952213,69.44796778,79.94943276,147.2723259,190.20801569999998,210.07644,0.04803321,0.539051916,2.486451483,0.668699975,1.592458468,2.355984573,4.654462669,7.564999852999999,11.123103217999999,15.30755737,29.573905563,233.81661197299997,267.284010173
6,20104,,,90.0,2.0,21.0,98.0,2.0,,,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162104636,0.0,0.0,0.154810995,0.0,0.154810995,0.381140364,0.0,0.0,0.42815409600000004,0.0,0.42815409600000004,0.63177125,0.0,0.0,0.6876274729999999,0.0,0.6876274729999999,0.882176568,0.0,0.0,1.186611053,0.0,1.186611053,1.881536203,0.0,2.9278852619999998,3.493031199,0.0,3.493031199,4.043438151,0.0,3.244291381,10.97034215,0.0,10.97034215,7.753420127,0.0,3.728483063,21.30311015,0.0,21.30311015,12.88197675,0.0,4.780778907,44.99106066,0.0,44.99106066,16.80005087,0.0,18.63637796,159.66246830000003,0.0,159.66246830000003,21.03499942,0.0,32.45616601,328.79170560000006,0.0,328.79170560000006,21.03499942,0.0,52.07707142,569.2097153,0.0,569.2097153,21.03499942,0.0,0.0,0.062752135,0.0,0.0,0.15688033699999998,0.0,0.0,0.313685102,0.049190555999999996,0.0,0.589605971,0.38889393200000005,0.745944033,1.3263111909999998,1.7360609869999999,1.46855769,2.44579886,4.909086285,2.473955288,4.899431648999999,10.45572209,2.500244073,8.105746815,14.95796538,10.75772282,22.2957698,31.39596079,17.80711275,65.55487663,70.86624481,26.78232652,125.69116670000001,118.9867169,31.36791491,205.143003,185.2059677,31.52646542,368.50766989999994,306.80499,31.52646542,369.2184759,306.80499,31.52646542,369.2184759,306.80499,1444.219971,10.765899699999999,4.256370099999999,0.338248,0.477914551,0.0,0.0,0.0,0.0,0.009058353,0.044705324000000005,0.424954096,0.47280312700000005,0.38287741200000003,0.313640564,0.27606721,0.28349942300000003,0.310444344,0,0,0,0,246,1496,3287,5215,12798,18668,28125,39305,55805,62335,69489,0.45407833,0.331115355,0.534879343,0.5315658120000001,0.492576645,0.465937,0.46261879100000003,0.513547694,0.556654289,0.575552863,0.612403282,0.617174387,0.623742809,0.0,0.037913652,1.621759278,8.523196565,19.09633159,30.03934273,68.64903003,115.8142001,192.04817130000004,281.54394060000004,481.5665626,586.980673,774.3691136,0.0,0.200018288,2.157710637,1.059925346,1.5698040409999998,3.068147256,7.53646935,18.723762277,34.1850869,61.79111153,180.69746772000002,936.8073780200001,1364.61382832
7,20301,,,96.0,1.0,6.0,98.0,1.0,,,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111303365,0.0,0.111303365,0.0,0.0,0.0,0.692463382,0.0,0.692463382,0.0,0.0,0.0,1.6044262009999999,0.0,1.6044262009999999,0.0,0.0,0.0,2.391746124,0.0,2.391746124,0.0,0.0,0.0,3.266818813,0.0,3.266818813,0.0,0.0,0.0,10.82643465,0.0,10.82643465,0.0,0.0,0.0,20.23265893,0.0,20.23265893,0.0,0.0,0.0,38.71992071,0.0,38.71992071,0.0,0.0,0.0,54.43712035,0.0,54.43712035,0.0,0.0,0.0,181.6778491,0.0,181.6778491,0.0,0.0,6.8539323329999995,273.2321119,0.0,273.2321119,0.0,0.0,6.857271265,336.0168975,0.0,336.0168975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5518627429999999,22.57670995,17.86807491,5.2689778160000005,90.09616673,83.44527579999999,72263.5,10.449600199999999,3.1553400000000003,0.288675,0.695618582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033282667,0.038138904,0.043020239,0.066381262,0.3462415,0.517039945,0,0,0,0,0,0,0,0,153,569,808,1013,3344,7538,21362,0.701409903,0.47914017799999997,0.7328817559999999,0.74386239,0.745141075,0.7526497409999999,0.756873499,0.746316825,0.7427217070000001,0.746063936,0.729637205,0.716101897,0.704423551,0.0,0.0,0.025415827000000002,0.282113015,1.202162188,1.453407565,4.656160151,12.56390289,18.14736949,26.666850899999996,145.6898729,278.902828,443.80817110000004,0.0,0.111303365,0.717879209,1.6044262009999999,2.391746124,3.266818813,10.82643465,20.23265893,38.71992071,54.43712035,181.6778491,552.1349399000001,779.8250686000001
8,20401,,,95.0,0.0,30.0,92.0,0.0,,,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059903251,0.0,0.059903251,0.0,0.0,0.0,0.46122445100000004,0.0,0.46122445100000004,0.0,0.0,0.0,0.980720693,0.0,0.980720693,0.0,0.0,0.0,1.487385855,0.0,1.487385855,0.0,0.0,0.0,1.9908611230000002,0.0,1.9908611230000002,0.0,0.0,0.0,4.036322306000001,0.0,4.036322306000001,0.0,0.0,0.0,15.30450259,0.0,15.30450259,0.0,0.0,0.0,34.32085317,0.0,34.32085317,0.0,0.0,0.0,49.94413922,0.0,49.94413922,0.0,0.0,0.0,155.8628176,0.0,155.8628176,0.0,0.0,0.0,287.004777,0.0,287.004777,0.0,0.0,4.5505043,495.263943,0.0,495.263943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44596.89844,10.2681999,3.7058498999999996,0.396352,0.697539878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009359166,0.03005176,0.044578552,0.075606189,0.20119748699999998,0.297833872,0,0,0,0,0,0,0,0,109,229,357,515,1602,3076,5830,0.634672032,0.417890675,0.6565544529999999,0.666545834,0.669711288,0.667342729,0.67985649,0.6787019009999999,0.670624408,0.66315561,0.651255545,0.644043872,0.638749746,0.0,0.0,0.0,0.290985051,1.124553431,1.7418350180000002,3.96359978,8.256362976,14.78076255,23.94745619,146.2422608,290.8210817,494.1412536,0.0,0.059903251,0.46122445100000004,0.980720693,1.487385855,1.9908611230000002,4.036322306000001,15.30450259,34.32085317,49.94413922,155.8628176,577.8258587,989.4051966
9,30118,99.0,10.0,71.0,,18.0,99.0,10.0,99.0,9.0,3,6.333333333,0.0,0.0,0.0,0.0,0.0,0.041644341,0,0.0,0.0,0.0,0.0,0.096590938,0.0,0.0,0.0,0.0,0.0,0.30336399999999997,0.0,0.0,0.0,0.0,0.0,1.25917857,0.0,0.0,0.0,0.0,0.0,2.831761782,0.0,0.0,0.0,0.0,0.0,6.042221186,0.642681615,1.0482947790000001,0.0,0.0,0.0,8.165060579,0.771280148,32.29150338,0.0,0.0,0.0,24.29018271,2.8737454789999997,52.11260467,13.70415602,2.1176802969999997,11.58647572,41.33034925,9.482280847,60.72571728,35.01813008,10.39784185,24.62028823,55.64792439,14.6369994,84.48219665,83.80663831,39.24887717,44.55776114,70.09806742,18.771922600000003,164.4091592,247.62353760000002,120.53575740000001,127.0877803,104.3018517,23.75559532,195.5817616,401.82760030000003,204.87351809999998,196.9540822,117.2749662,24.08683197,224.20107990000002,523.8284688,262.0619553,261.7665135,135.4002265,24.08683197,0.0,0.0,0.062752135,0.0,0.0,0.15688033699999998,0.0,0.0,0.313952598,0.0,0.0,0.628113524,0.0,0.08781191,1.9233071780000002,0.9798988409999999,2.0010678680000002,6.735391803,2.958027304,6.30752961,10.8001701,4.717722525,9.924541976,16.84924051,11.13527089,33.154795799999995,46.76301711,29.47592361,97.27262548,106.30919990000001,44.94113532,187.29960730000002,188.8293331,66.48814564,304.2100912,273.9461439,135.40412890000002,985.3166028999999,646.4754743,147.5494387,1712.34367,966.1205425,165.5300314,2780.212355,1374.815932,975.8900146,12.200200099999998,4.3273000999999995,0.24386300000000002,0.168930629,0.0,0.0,0.153100775,0.35239491700000003,0.42501083700000003,0.470860202,0.397685749,0.279540933,0.265796384,0.24167766899999998,0.209451337,0.23233081600000002,0.25503875,0,0,0,83,319,1495,5085,9105,30908,56400,86831,125041,241488,291899,343777,0.122842855,0.077527628,0.154932337,0.253868177,0.28472475399999997,0.315676941,0.372104692,0.43283128299999996,0.47682064799999996,0.498540855,0.582374481,0.637003647,0.661229279,0.167607904,0.5027829189999999,3.384509262,8.282321908,14.02957989,21.98266809,73.30313563,177.33453269999998,304.81746200000003,455.4084225,1033.1235609999999,1399.3747369999999,1882.736383,0.264198842,0.8061469189999999,4.6436878319999995,2.831761782,6.042221186,8.165060579,24.29018271,55.034505267,90.66605447,153.90470573,351.92538940000003,1918.4773034999998,2541.9650782999997
